source_set,source_path,package_name,declaring_type,declaring_type_kind,member_name,member_kind,parameter_types,visibility,modifiers,return_type,throws_types,annotations,type_parameters,line_number
"main","app/src/main/java/de/mkalb/etpetssim/AboutDialog.java","de.mkalb.etpetssim","AboutDialog","CLASS","<init>","CONSTRUCTOR","List<Image>","public","","","","","","34"
"main","app/src/main/java/de/mkalb/etpetssim/AboutDialog.java","de.mkalb.etpetssim","AboutDialog","CLASS","showAboutDialog","METHOD","","public","","void","","","","45"
"main","app/src/main/java/de/mkalb/etpetssim/AboutDialog.java","de.mkalb.etpetssim","AboutDialog","CLASS","createTextAreaTab","METHOD","String, String","private","","Tab","","","","80"
"main","app/src/main/java/de/mkalb/etpetssim/AboutDialog.java","de.mkalb.etpetssim","AboutDialog","CLASS","buildManifestSummary","METHOD","","private","","String","","","","100"
"main","app/src/main/java/de/mkalb/etpetssim/AboutDialog.java","de.mkalb.etpetssim","AboutDialog","CLASS","readManifestInfo","METHOD","","private","","Map<String, String>","","","","125"
"main","app/src/main/java/de/mkalb/etpetssim/AboutDialog.java","de.mkalb.etpetssim","AboutDialog","CLASS","getResourceAsString","METHOD","String","private","","String","","","","158"
"main","app/src/main/java/de/mkalb/etpetssim/AppLauncher.java","de.mkalb.etpetssim","AppLauncher","CLASS","<init>","CONSTRUCTOR","","private","","","","","","22"
"main","app/src/main/java/de/mkalb/etpetssim/AppLauncher.java","de.mkalb.etpetssim","AppLauncher","CLASS","parseArgumentsAndHandleHelp","METHOD","String[]","private","static","AppArgs","","@SuppressWarnings(""CallToSystemExit"")","","35"
"main","app/src/main/java/de/mkalb/etpetssim/AppLauncher.java","de.mkalb.etpetssim","AppLauncher","CLASS","initAppLogger","METHOD","AppArgs","private","static","void","","","","51"
"main","app/src/main/java/de/mkalb/etpetssim/AppLauncher.java","de.mkalb.etpetssim","AppLauncher","CLASS","initAppLocalization","METHOD","AppArgs","private","static","void","","","","74"
"main","app/src/main/java/de/mkalb/etpetssim/AppLauncher.java","de.mkalb.etpetssim","AppLauncher","CLASS","main","METHOD","String[]","package-private","static","void","","","","87"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","determineSimulationType","METHOD","AppArgs, boolean","private","","Optional<SimulationType>","","@SuppressWarnings(""SameParameterValue"")","","53"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","updateStageIcons","METHOD","Stage","private","","void","","","","64"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","switchToSimulation","METHOD","Stage, SimulationType","private","","void","","","","84"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","shutdownCurrentSimulation","METHOD","","private","","void","","","","134"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","awaitPendingTerminations","METHOD","","private","","void","","","","150"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","findScreenContainingStage","METHOD","Stage","private","","Screen","","@SuppressWarnings(""MagicNumber"")","","183"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","adjustStageLayoutToScreen","METHOD","Stage, Region","private","","void","","","","211"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","buildSimulationHeaderNode","METHOD","Stage, SimulationInstance","private","","Node","","","","320"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","start","METHOD","Stage","public","","void","","@Override","","373"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","stop","METHOD","","public","","void","","@Override","","403"
"main","app/src/main/java/de/mkalb/etpetssim/SimulationType.java","de.mkalb.etpetssim","SimulationType","ENUM","<init>","CONSTRUCTOR","boolean, boolean, String, String, String, String, List<String>","private","","","","@SuppressWarnings(""SameParameterValue"")","","146"
"main","app/src/main/java/de/mkalb/etpetssim/SimulationType.java","de.mkalb.etpetssim","SimulationType","ENUM","fromCliArgument","METHOD","String, boolean","public","static","Optional<SimulationType>","","","","170"
"main","app/src/main/java/de/mkalb/etpetssim/SimulationType.java","de.mkalb.etpetssim","SimulationType","ENUM","labelResourceKey","METHOD","","public","static","String","","@SuppressWarnings(""SameReturnValue"")","","185"
"main","app/src/main/java/de/mkalb/etpetssim/SimulationType.java","de.mkalb.etpetssim","SimulationType","ENUM","isImplemented","METHOD","","public","","boolean","","","","195"
