source_set,source_path,package_name,type_name,type_kind,extends_types,implements_types,permits_types,visibility,modifiers,annotations,type_parameters,line_number
"main","app/src/main/java/de/mkalb/etpetssim/AboutDialog.java","de.mkalb.etpetssim","AboutDialog","CLASS","","","","public","final","","","21"
"main","app/src/main/java/de/mkalb/etpetssim/AppLauncher.java","de.mkalb.etpetssim","AppLauncher","CLASS","","","","public","final","","","17"
"main","app/src/main/java/de/mkalb/etpetssim/ExtraterrestrialPetsSimulation.java","de.mkalb.etpetssim","ExtraterrestrialPetsSimulation","CLASS","Application","","","public","final","","","25"
"main","app/src/main/java/de/mkalb/etpetssim/SimulationType.java","de.mkalb.etpetssim","SimulationType","ENUM","","","","public","","@SuppressWarnings(""SpellCheckingInspection"")","","14"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppArgs.java","de.mkalb.etpetssim.core","AppArgs","CLASS","","","","public","final","","","12"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppArgs.java","de.mkalb.etpetssim.core","AppArgs.Key","ENUM","","","","public","","","","205"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppLocalization.java","de.mkalb.etpetssim.core","AppLocalization","CLASS","","","","public","final","","","13"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppLocalization.java","de.mkalb.etpetssim.core","AppLocalization.CountryLocale","ENUM","","","","public","","","","275"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppLocalizationKeys.java","de.mkalb.etpetssim.core","AppLocalizationKeys","CLASS","","","","public","final","@SuppressWarnings(""SpellCheckingInspection"")","","9"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppLogger.java","de.mkalb.etpetssim.core","AppLogger","CLASS","","","","public","final","","","21"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppLogger.java","de.mkalb.etpetssim.core","AppLogger.LogLevel","ENUM","","","","public","","","","359"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppLogger.java","de.mkalb.etpetssim.core","AppLogger.AppLogFormatter","CLASS","Formatter","","","private","static","","","398"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppResources.java","de.mkalb.etpetssim.core","AppResources","CLASS","","","","public","final","","","16"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppStorage.java","de.mkalb.etpetssim.core","AppStorage","CLASS","","","","public","final","","","14"
"main","app/src/main/java/de/mkalb/etpetssim/core/AppStorage.java","de.mkalb.etpetssim.core","AppStorage.OperatingSystem","ENUM","","","","public","","","","209"
"main","app/src/main/java/de/mkalb/etpetssim/engine/CellShape.java","de.mkalb.etpetssim.engine","CellShape","ENUM","","","","public","","","","18"
"main","app/src/main/java/de/mkalb/etpetssim/engine/EdgeBehavior.java","de.mkalb.etpetssim.engine","EdgeBehavior","ENUM","","","","public","","","","11"
"main","app/src/main/java/de/mkalb/etpetssim/engine/GridCoordinate.java","de.mkalb.etpetssim.engine","GridCoordinate","RECORD","","Comparable<GridCoordinate>","","public","","","","22"
"main","app/src/main/java/de/mkalb/etpetssim/engine/GridEdgeBehavior.java","de.mkalb.etpetssim.engine","GridEdgeBehavior","ENUM","","","","public","","","","12"
"main","app/src/main/java/de/mkalb/etpetssim/engine/GridOffset.java","de.mkalb.etpetssim.engine","GridOffset","RECORD","","","","public","","","","17"
"main","app/src/main/java/de/mkalb/etpetssim/engine/GridSize.java","de.mkalb.etpetssim.engine","GridSize","RECORD","","","","public","","","","23"
"main","app/src/main/java/de/mkalb/etpetssim/engine/GridStructure.java","de.mkalb.etpetssim.engine","GridStructure","RECORD","","","","public","","","","26"
"main","app/src/main/java/de/mkalb/etpetssim/engine/GridTopology.java","de.mkalb.etpetssim.engine","GridTopology","RECORD","","","","public","","","","23"
"main","app/src/main/java/de/mkalb/etpetssim/engine/executor/AgentStepLogic.java","de.mkalb.etpetssim.engine.executor","AgentStepLogic","INTERFACE","","","","public","","@FunctionalInterface","T extends GridEntity, C","18"
"main","app/src/main/java/de/mkalb/etpetssim/engine/executor/AsynchronousStepRunner.java","de.mkalb.etpetssim.engine.executor","AsynchronousStepRunner","CLASS","","SimulationStepRunner<C>","","public","final","","T extends GridEntity, C","21"
"main","app/src/main/java/de/mkalb/etpetssim/engine/executor/DefaultSimulationExecutor.java","de.mkalb.etpetssim.engine.executor","DefaultSimulationExecutor","CLASS","","SimulationExecutor<ENT, GM>","","public","final","","ENT extends GridEntity, GM extends GridModel<ENT>, C","19"
